,year,month,day,hour,num_calls,BRONX,BROOKLYN,MANHATTAN,QUEENS,RICHMOND / STATEN ISLAND,UNKNOWN,STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TAVG_CALC,Incidences
0,2010,1,2,2,93,25,23,20,20,5,0,USW00094728,"NY CITY CENTRAL PARK, NY US",2010-01-02,0.02,0.2,0.0,34.0,17.0,25.5,1
1,2010,1,2,3,88,22,28,19,15,4,0,USW00094728,"NY CITY CENTRAL PARK, NY US",2010-01-02,0.02,0.2,0.0,34.0,17.0,25.5,1
2,2010,1,3,12,144,43,42,33,26,0,0,USW00094728,"NY CITY CENTRAL PARK, NY US",2010-01-03,0.0,0.0,0.0,22.0,17.0,19.5,1
3,2010,1,4,1,94,23,34,20,11,6,0,USW00094728,"NY CITY CENTRAL PARK, NY US",2010-01-04,0.0,0.0,0.0,30.0,19.0,24.5,2
4,2010,1,4,10,219,53,67,54,34,11,0,USW00094728,"NY CITY CENTRAL PARK, NY US",2010-01-04,0.0,0.0,0.0,30.0,19.0,24.5,2
5,2010,1,4,11,196,55,53,43,40,5,0,USW00094728,"NY CITY CENTRAL PARK, NY US",2010-01-04,0.0,0.0,0.0,30.0,19.0,24.5,2
6,2010,1,7,1,77,17,21,24,11,4,0,USW00094728,"NY CITY CENTRAL PARK, NY US",2010-01-07,0.0,0.0,0.0,37.0,30.0,33.5,2
7,2010,1,7,10,188,44,58,39,36,11,0,USW00094728,"NY CITY CENTRAL PARK, NY US",2010-01-07,0.0,0.0,0.0,37.0,30.0,33.5,3
8,2010,1,7,11,179,46,38,50,36,9,0,USW00094728,"NY CITY CENTRAL PARK, NY US",2010-01-07,0.0,0.0,0.0,37.0,30.0,33.5,4
9,2010,1,7,12,122,24,49,26,19,4,0,USW00094728,"NY CITY CENTRAL PARK, NY US",2010-01-07,0.0,0.0,0.0,37.0,30.0,33.5,1
10,2010,1,8,6,71,14,29,10,16,2,0,USW00094728,"NY CITY CENTRAL PARK, NY US",2010-01-08,0.05,0.6,0.0,33.0,23.0,28.0,1
11,2010,1,9,6,63,12,13,16,16,6,0,USW00094728,"NY CITY CENTRAL PARK, NY US",2010-01-09,0.0,0.0,0.0,30.0,18.0,24.0,3
12,2010,1,9,8,97,20,42,16,17,2,0,USW00094728,"NY CITY CENTRAL PARK, NY US",2010-01-09,0.0,0.0,0.0,30.0,18.0,24.0,2
13,2010,1,9,9,135,44,42,19,27,3,0,USW00094728,"NY CITY CENTRAL PARK, NY US",2010-01-09,0.0,0.0,0.0,30.0,18.0,24.0,1
14,2010,1,9,10,150,40,35,39,28,8,0,USW00094728,"NY CITY CENTRAL PARK, NY US",2010-01-09,0.0,0.0,0.0,30.0,18.0,24.0,4
15,2010,1,9,11,139,34,49,30,25,1,0,USW00094728,"NY CITY CENTRAL PARK, NY US",2010-01-09,0.0,0.0,0.0,30.0,18.0,24.0,3
16,2010,1,10,2,110,25,32,38,8,7,0,USW00094728,"NY CITY CENTRAL PARK, NY US",2010-01-10,0.0,0.0,0.0,28.0,14.0,21.0,3
17,2010,1,10,8,92,27,29,12,20,4,0,USW00094728,"NY CITY CENTRAL PARK, NY US",2010-01-10,0.0,0.0,0.0,28.0,14.0,21.0,1
